PTN_NO,PRODUCT_ID,URL
17231,8x8 Canvas Prints,+canvas-prints-8x8
17238,9x12 Canvas Prints,+canvas-prints-9x12
17140,Caps,+caps
17254,Car Accessories,+car-accessories
17257,Car Bumper Magnets,+car-bumper-magnets
17258,Car Door Magnets,+car-door-magnets
17256,Car Magnets,+car-magnets
18584,carpenter,+carpenter
19000,cars,+cars
17307,Phone & Tech,+cases-and-covers
19599,cat,+cat
18559,cat dad,+cat-dad
19523,cats,+cats
18550,causes,+causes
20377,Ceramic & Insulated Mugs,+ceramic-insulated-mugs
18988,Charlie Brown,+charlie-brown
20143,Chi Omega ,+chi-omega
20241,Chi Phi Fraternity,+chi-phi-fraternity
19775,"",+choose-vote
19565,"",+christmas
18965,christmas custom,+christmas-custom
18992,christmas custom photo,+christmas-custom-photo
19335,"",+christmas-decorations
18110, christmas pajamas,+christmas-pajamas
18903,christmas pets,+christmas-pets
17270,Chrome License Plate Frame,+chrome-license-plate-frame
17202,Circle Acrylic Baubles,+circle-acrylic-ornaments
17266,Circle Keychains,+circle-keychains
17353,Circle Necklaces,+circle-necklaces
20146,Circle of Sisterhood Foundation Sorority,+circle-of-sisterhood-sorority
20373,Classic Baseball T-Shirts,+classic-baseball-shirts
20028,"",+classic-football-shirts
20396,Classic Football Shirts,+classic-football-shirts
20296,"",+classic-t-shirts
20393,Classic T-Shirts,+classic-t-shirts
19235,"",+clearance
18670,climate change,+climate-change
17227,Wall Clocks,+clocks
20391,Clothing,+clothing
19088,clovers,+clovers
19778,Clue ,+clue
19704,Co Ed Greek,+co-ed-greek
19331,coach,+coach
17118,Coasters,+coasters
20454,coffee,+coffee
18666,coffee wine,+coffee-wine
19028,college,+college
17946,"",+comforters
19339,conservative,+conservative
18882,corona virus,+corona-virus
19126,coronavirus,+coronavirus
18408,corrupt trump,+corrupt-trump
19152,corruption,+corruption
18072,cory booker,+cory-booker
18606,costume,+costume
17092,Cotton Baby Bibs,+cotton-baby-bibs
20502,couples,+couples
18245,covid19,+covid19
20392,Crewneck Sweatshirts,+crewneck-sweatshirts
17179,Curtains,+curtains
17219,Cushions,+cushions
18618,custom,+custom
18768,Custom Photo,+custom-photo
17853,custom photo beach towels,+custom-photo-beach-towels
19535,dachshund,+dachshund
19550,Dad,+dad
17887,dad since,+dad-since
18489,dance,+dance
20109,Dungeons and Dragons: Honor Among Thieves ,+danddhonoramongthieves
18286,daughter,+daughter
19379,daughter in law,+daughter-in-law
20090,Delta Chi Fraternity,+delta-chi-fraternity
20238,Delta Delta Delta Sorority,+delta-delta-delta-sorority
20093,Delta Gamma,+delta-gamma
20087,Delta Kappa Alpha Fraternity,+delta-kappa-alpha-fraternity
20136,Delta Phi Epsilon Sorority,+delta-phi-epsilon-sorority
20084,Delta Sigma Phi Fraternity,+delta-sigma-phi-fraternity
20231,Delta Tau Delta Fraternity,+delta-tau-delta-fraternity
20127,Delta Upsilon Fraternity,+delta-upsilon-fraternity
20133,Delta Zeta Sorority,+delta-zeta-sorority
19891,Democrats,+democrats
19373,dog,+dog
18681,dog dad,+dog-dad
19328,dog lover,+dog-lover
17355,Dog Tags,+dog-tags
18094,donut,+donut
17182,Doormats,+doormats
19785,Doormats,+doormats
17284,Double-Sided Yard Signs,+double-sided-yard-signs
17129,Drawstring Bags,+drawstring-bags
19275,drinking,+drinking
17113,Drinking Glasses,+drinking-glasses
17096,Drinkware,+drinkware
18273,driving,+driving
19161,dump trump,+dump-trump
19692,Dungeons and Dragons,+dungeonsanddragons
18241,earth day,+earth-day
17891,Earth Day 2024,+earthday2024
19369,Earth Day 2025,+earthday2025
20235,Eastbound and Down TV Show,+eastboundanddowntv
19895,"",+easter
18368,eco friendly,+eco-friendly
20395,Eco Sport T-Shirts,+eco-sport-t-shirts
19219,Election 2020,+election-2020
17922,electoral college,+electoral-college
17798,elizabeth warren,+elizabeth-warren
20508,empowered women,+empowered-women
18634,end gun violence,+end-gun-violence
19352,engineer,+engineer
18394,entertainment mom,+entertainment-mom
18031,entertainment tv,+entertainment-tv
19480,expecting,+expecting
20228,Extreme Makeover: Home Edition TV Show,+extrememakeoverhomeeditiontv
19761,"",+face-masks
19279,fall,+fall
19129,family,+family
18547,family christmas,+family-christmas
20224,Farmhouse Fraternity,+farmhouse-fraternity
18576,father daughter,+father-daughter
17951,father son,+father-son
17918,father son matching,+father-son-matching
19311,father to be,+father-to-be
19047,Father's Day,+fathers-day
18563,fathers day bbq,+fathers-day-bbq
19133,fathers day fix,+fathers-day-fix
19510,fathers day funny,+fathers-day-funny
18842,fathers day golf,+fathers-day-golf
19080,fathers day sports,+fathers-day-sports
18007,Fictional Candidates,+fictionalcandidates2016
19936,Abstract Fine Art Collection,+fineartcollection-abstract
19933,Animals Fine Art Collection,+fineartcollection-animals
19485,first christmas,+first-christmas
18067,first home,+first-home
18502,fishing,+fishing
19112,fitness,+fitness
17116,Flasks,+flasks
17293,"5x7 Flat Cards, (Set of 10)",+flat-5x7-cards-pk-of-10
17294,"5x7 Flat Cards, (Set of 20)",+flat-5x7-cards-pk-of-20
18090,flatten the curve,+flatten-the-curve
17137,Flip Flops,+flip-flops
19348,floral,+floral
17187,Flower Pots,+flower-pots
18940,food,+food
19040,food and drink,+food-and-drink
20443,football,+football
19542,"",+for-her
20276,"",+for-him
19796,Kids,+for-kids
19183,for teens,+for-teens
19263,fourth of july,+fourth-of-july
19694,Fraternity,+fraternity
20389,Fridge Magnets,+fridge-magnets
17177,Frosted Candles,+frosted-candles
17114,Beer Mugs,+frosted-steins
19066,fuck biden,+fuck-biden
18404,fuck democrats,+fuck-democrats
19252,"",+funny
18961,funny baking,+funny-baking
18025,funny beer,+funny-beer
18255,funny birthday,+funny-birthday
17910,funny camping,+funny-camping
19624,funny capslock,+funny-capslock
19243,funny christmas,+funny-christmas
19396,funny dad,+funny-dad
19267,funny drinking,+funny-drinking
19472,Funny Fathers Day,+funny-fathers-day
18263,funny food,+funny-food
18894,funny geek,+funny-geek
17883,funny grandma,+funny-grandma
17787,funny grandpa,+funny-grandpa
18400,funny mothers day,+funny-mothers-day
18481,funny occupations,+funny-occupations
18712,funny pet,+funny-pet
18222,funny retirement,+funny-retirement
19458,funny sayings,+funny-sayings
18979,funny st patricks day,+funny-st-patricks-day
17791,funny t-shirts,+funny-t-shirts
18176,funny vintage sayings,+funny-vintage-sayings
19889,Furby,+furby
17332,Galaxy Cases,+galaxy-cases
17342,Galaxy S22 Cases,+galaxy-s22-cases
17343,Galaxy S22+ Cases,+galaxy-s22-plus-cases
17344,Galaxy S22 Ultra Cases,+galaxy-s22-ultra-cases
17339,Galaxy S23 Cases,+galaxy-s23-cases
17340,Galaxy S23+ Cases,+galaxy-s23-plus-cases
17341,Galaxy S23 Ultra Cases,+galaxy-s23-ultra-cases
17336,Galaxy S24 Cases,+galaxy-s24-cases
17337,Galaxy S24+ Cases,+galaxy-s24-plus-cases
17338,Galaxy S24 Ultra Cases,+galaxy-s24-ultra-cases
17333,Galaxy S25 Cases,+galaxy-s25-cases
17334,Galaxy S25+ Cases,+galaxy-s25-plus-cases
17335,Galaxy S25 Ultra Cases,+galaxy-s25-ultra-cases
20044,"",+game-of-thrones-house-stark
19450,gamer,+gamer
18485,gamer dads,+gamer-dads
18209,gaming,+gaming
20081,Gamma Phi Beta ,+gamma-phi-beta
19939,"",+gamma-sigma-sigma
17188,Garden Flags,+garden-flags
19291,gardening,+gardening
19148,gay pride,+gay-pride
19386,geek,+geek
18754,gender equality,+gender-equality
18868,german shepherd,+german-shepherd
17132,Gift Bags,+gift-bags
17203,Gift Tag Baubles,+gift-tag-ornaments
17021,Gifts,+gifts
20130,"",+gifts
19974,G.I. Joe TV Show,+gijoe
17982,girlfriend,+girlfriend
19499,goldendoodle,+goldendoodle
19256,golf,+golf
17357,Golf Balls,+golf-balls
18787,good luck,+good-luck
18975,"",+graduation
18334,grandma,+grandma
19144,grandpa,+grandpa
18526,"",+grandparents
18077,great grandma,+great-grandma
19792,Greek Affinity,+greek-affinity
17288,Greeting Cards,+greeting-cards
19964,"",+greeting-cards
17290,"Greeting Cards, (Set of 10)",+greeting-cards-pk-of-10
17291,"Greeting Cards, (Set of 20)",+greeting-cards-pk-of-20
19383,grilling,+grilling
18427,groomsmen,+groomsmen
18658,groomsmen party,+groomsmen-party
18649,guinea pig,+guinea-pig
18740,guinea pig lover,+guinea-pig-lover
18514,guineapig,+guineapig
18102,Prevent Gun Violence,+gun-control
19493,halloween,+halloween
17801,halloween movie,+halloween-movie
17168,Hand Towels,+hand-towels
18354,hanukkah,+hanukkah
17297,Hardcover Journals,+hardcover-journals
19782,"",+hasbro
19546,having a baby,+having-a-baby
17205,Heart Acrylic Baubles,+heart-acrylic-ornaments
17351,Heart Jewelry Boxes,+heart-jewelry-boxes
17264,Heart Keychains,+heart-keychains
17354,Heart Necklaces,+heart-necklaces
17204,Heart Baubles,+heart-ornaments
19303,history,+history
19602,hobbies,+hobbies
18470,hockey mom,+hockey-mom
17149,Home & Decor,+home-and-decor
20376,Hooded Shirts,+hooded-shirts
20374,Hoodies,+hoodies
18594,horse,+horse
18812,hunting,+hunting
18249,husband,+husband
18081,i am with israel,+i-am-with-israel
18457,ice cream,+ice-cream
18374,im single,+im-single
17999,im speaking,+im-speaking
18924,Immigration,+immigration
19106,inexpensive,+inexpensive
20457,inexpensive for her,+inexpensive-for-her
17879,inexpensive for him,+inexpensive-for-him
17105,Insulated Mugs,+insulated-mugs
17103,Insulated Mugs & Tumblers,+insulated-mugs-and-tumblers
17106,Wine Tumblers,+insulated-wine-tumbler
18950,introvert,+introvert
17292,Invitations and Announcements,+invitations-and-announcements
17328,iPhone 12 Cases,+iphone-12-cases
17329,iPhone 12 mini Cases,+iphone-12-mini-cases
17330,iPhone 12 Pro Cases,+iphone-12-pro-cases
17331,iPhone 12 Pro Max Cases,+iphone-12-pro-max-cases
17324,iPhone 13 Cases,+iphone-13-cases
17325,iPhone 13 mini Cases,+iphone-13-mini-cases
17326,iPhone 13 Pro Cases,+iphone-13-pro-cases
17327,iPhone 13 Pro Max Cases,+iphone-13-pro-max-cases
17320,iPhone 14 Cases,+iphone-14-cases
17323,iPhone 14 Plus Cases,+iphone-14-plus-cases
17321,iPhone 14 Pro Cases,+iphone-14-pro-cases
17322,iPhone 14 Pro Max Cases,+iphone-14-pro-max-cases
17316,iPhone 15 Cases,+iphone-15-cases
17319,iPhone 15 Plus Cases,+iphone-15-plus-cases
17317,iPhone 15 Pro Cases,+iphone-15-pro-cases
17318,iPhone 15 Pro Max Cases,+iphone-15-pro-max-cases
17312,iPhone 16 Cases,+iphone-16-cases
17315,iPhone 16 Plus Cases,+iphone-16-plus-cases
17313,iPhone 16 Pro Cases,+iphone-16-pro-cases
17314,iPhone 16 Pro Max Cases,+iphone-16-pro-max-cases
17311,iPhone Cases,+iphone-cases
19142,irish heritage,+irish-heritage
17347,Jewelry,+jewelry
17348,Jewelry Boxes,+jewelry-boxes
19271,Joe Biden,+joe-biden
17206,Joy Baubles,+joy-ornaments
19668,Joy Pixels,+joypixels
19658,Joy Pixels Valentine's Day,+joypixels-valentines
19187,Kamala Harris,+kamala-harris
19983,Kappa Alpha Order Fraternity,+kappa-alpha-order-fraternity
20218,Kappa Alpha Theta ,+kappa-alpha-theta
20021,Kappa Delta ,+kappa-delta
20074,Kappa Delta Rho Fraternity,+kappa-delta-rho-fraternity
20024,Kappa Kappa Gamma Sorority,+kappa-kappa-gamma-sorority
19879,Kappa Kappa Psi Fraternity,+kappa-kappa-psi-fraternity
19886,Kappa Phi Lambda Sorority,+kappa-phi-lambda-sorority
19986,Kappa Psi Fraternity,+kappa-psi-fraternity
20018,Kappa Sigma Fraternity,+kappa-sigma-fraternity
18589,Keep America Great,+keep-america-great
17349,Keepsake Boxes,+keepsake-boxes
17263,Keychains,+keychains
20386,Kids & Baby,+kids-and-baby
17078,Kids Aprons,+kids-aprons
17079,Kids Backpacks,+kids-backpacks
17073,Kids Baseball T-Shirts,+kids-baseball-t-shirts
17072,Kids Classic T-Shirts,+kids-classic-t-shirts
17070,Kids Clothing & Accessories,+kids-clothing
20071,"",+kids-clothing
17075,Kids Crewneck Sweatshirts,+kids-crewneck-sweatshirt
19752,"",+kids-face-masks
17076,Kids Hoodies,+kids-hoodies
17074,Kids Hoodies & Sweatshirts,+kids-hoodies-sweatshirts
17080,Kids Lunch Boxes,+kids-lunch-boxes
17077,Kids Socks,+kids-socks
17071,Kids T-Shirts,+kids-t-shirts
18459,"",+king-charles-coronation
17161,King Comforters,+king-comforters
17164,King Duvet Covers,+king-duvet-covers
18772,"",+kitchen
17189,Kitchen & Dining,+kitchen-dining
20164,"",+kramer
18654,kristen gillibrand,+kristen-gillibrand
19637,kwanzaa,+kwanzaa
20067,Lambda Alpha Upsilon Fraternity,+lambda-alpha-upsilon-fraternity
17136,Large Buttons,+large-buttons
17275,Large Die Cut Stickers,+large-die-cut-stickers
17185,Large Doormats,+large-doormats
17186,Large Doormats With Holder,+large-doormats-with-holder
