PTN_NO,PRODUCT_ID,URL
17365,Pets,+pets
20201,Phi Beta Sigma Fraternity,+phi-beta-sigma-fraternity
19836,Phi Kappa Tau Fraternity,+phi-kappa-tau-fraternity
19833,Phi Kappa Theta Fraternity,+phi-kappa-theta-fraternity
19830,Phi Sigma Kappa Fraternity,+phi-sigma-kappa-fraternity
19827,Phi Sigma Pi Fraternity,+phi-sigma-pi-fraternity
20198,Phi Sigma Rho Sorority,+phi-sigma-rho-sorority
17241,Photo Wall Tiles,+photo-wall-tiles
20192,Pi Alpha Phi Fraternity,+pi-alpha-phi-fraternity
20195,Pi Beta Phi ,+pi-beta-phi
18338,pi day,+pi-day
19873,Pi Kappa Alpha ,+pi-kappa-alpha
20060,Pi Kappa Phi Fraternity,+pi-kappa-phi-fraternity
19919,Pi Sigma Epsilon Fraternity,+pi-sigma-epsilon-fraternity
17955,pickle,+pickle
17218,Picture Frames,+picture-frames
17165,Pillowcases,+pillow-cases
17166,Pillow Sham,+pillow-sham
18782,pineapple,+pineapple
19923,Pixar,+pixar
19905,PJ Masks ,+pj-masks
19646,plaid,+plaid
20002,Play-Doh,+play-doh
17361,Playing Cards,+playing-cards
17058,Plus Size V-Neck T-Shirts,+plus-size-v-neck-t-shirts
17171,Plush Fleece Blankets,+plush-fleece-blankets
19808,Politics,+political
17125,All Over Print Tote Bags,+polyester-tote-bags
17902,popcorn,+popcorn
20116,Porn,+porn
20189,Portlandia TV Show,+portlandiatv
17304,Post-it® Notes,+post-it-notes
17305,3x3 Post-it® Notes,+post-it-notes-3x3
17306,4x3 Post-it® Notes,+post-it-notes-4x3
17303,Postcards,+postcards
17242,Posters,+posters
17193,Pot Holders,+pot-holders
17861,pow mia,+pow-mia
20271,Power Rangers ,+power-rangers
20160,"",+pretty-little-liars
19593,"",+pride
18147,pro america,+pro-america
18437,pro choice,+pro-choice
19157,pro life,+pro-life
19912,Psi Upsilon Fraternity,+psi-upsilon-fraternity
18695,pumpkin,+pumpkin
18878,pumpkin spice,+pumpkin-spice
18624,pun,+pun
17362,Jigsaw Puzzles,+puzzles
19287,puzzles,+puzzles
17959,quarantine christmas,+quarantine-christmas
17160,Queen Comforters,+queen-comforters
17163,Queen Duvet Covers,+queen-duvet-covers
17974,queen elizabeth,+queen-elizabeth
19870,Queer as Folk TV Show,+queerasfolktv
19419,rabbit,+rabbit
19441,rabbit lover,+rabbit-lover
19951,"",+raccoon
20205,Official Rawhide TV Show,+rawhide-tv
19824,Rawhide TV Show,+rawhidetv
19916,Ray Donovan TV Show,+raydonovantv
18390,reading,+reading
17260,Rectangle Car Magnets,+rectangle-car-magnets
17265,Rectangle Keychains,+rectangle-keychains
17198,Rectangle Magnets,+rectangle-magnets
17210,Rectangle Baubles,+rectangle-ornaments
17147,Rectangle Scarves,+rectangle-scarves
17277,Rectangle Stickers,+rectangle-stickers
17222,Rectangular Cushions,+rectangular-cushions
19075,red friday,+red-friday
19344,reindeer,+reindeer
17771,Religion,+religion
18571,religious christmas,+religious-christmas
17898,republicans against trump,+republicans-against-trump
19165,retirement,+retirement
20047,Retro & Vintage,+retro
17126,Reusable Grocery Bags,+reusable-tote-bags
18321,Robert F. Kennedy Jr.,+robert-kennedy-jr
20156,"",+roe-vs-wade
17261,Round Car Magnets,+round-car-magnets
17199,Round Magnets,+round-magnets
17211,Round Baubles,+round-ornaments
20185,Rudolph the Red-Nosed Reindeer,+rudolphthereindeer
17150,Area Rugs,+rugs
17212,Rustic Wood Baubles,+rustic-wood-ornaments
19071,Ruth Bader Ginsburg,+ruth-bader-ginsburg
17145,Scarves,+scarves
18417,science,+science
20050,"",+scrabble
17213,Scroll Baubles,+scroll-ornaments
19664,seasonal holiday,+seasonal-holiday
18238,self care,+self-care
19609,antoinepham2903,+seller-antoinepham2903
18306,Bridgewalker,+seller-bridgewalker
18163,CharacterAlley,+seller-characteralley
19036,FinestShirts,+seller-finestshirts
18824,Fresh_Dressed_Tees,+seller-freshdressedtees
17857,Harrison Caldwell,+seller-harrisoncaldwell
19055,HGshirts,+seller-hgshirts
19569,HomewiseShopper,+seller-homewiseshopper
18763,Kyandii,+seller-kyandii
18441,Liviana,+seller-liviana
18935,SpacePaint,+seller-spacepaint
19084,Spaghettee,+seller-spaghettee
19025,Spot_Of_Tees,+seller-spotoftees
19051,Stacy McCafferty,+seller-stacymccafferty
19468,The_Gift_Shop,+seller-thegiftshop
19202,The_Shirt_Yurt,+seller-theshirtyurt
18151,sets pajamas,+sets-pajamas
19943,Sexy,+sexy
17172,Sherpa Fleece Blankets,+sherpa-fleece-blankets
18387,shop local,+shop-local
17084,Short Sleeve Baby Bodysuits,+short-sleeve-baby-bodysuits
17087,Short Sleeve Baby T-Shirts,+short-sleeve-baby-t-shirts
